pitch,yaw,fixation_start_time,fixation_end_time,fixation_duration,fixation_number,ppid,run,event.order,event.x,n_back,trialid
-2.06145440039777,8.3200442839503,1676039995.81573,1676039996.07658,260.8499527,1,9,2,3,6,FALSE,9_FALSE_6_3
-11.7364674754598,-41.5851048832566,1676039996.4896,1676039996.72871,239.10999298,2,9,2,3,6,FALSE,9_FALSE_6_3
-3.29754399831643,8.95997129603533,1676039997.83774,1676039997.98959,151.84998512,3,9,2,3,6,FALSE,9_FALSE_6_3
0.873130383999862,-19.7948037371875,1676039998.3374,1676039998.5113,173.90012741,4,9,2,3,6,FALSE,9_FALSE_6_3
-1.44525739032775,6.87388925974351,1676039998.79391,1676039998.96784,173.92992973,5,9,2,3,6,FALSE,9_FALSE_6_3
-1.33745538117388,9.64981248137284,1676039999.11999,1676039999.27217,152.17995644,6,9,2,3,6,FALSE,9_FALSE_6_3
-1.42531845905719,-28.5054524486716,1676039999.85913,1676040000.03304,173.91014099,7,9,2,3,6,FALSE,9_FALSE_6_3
-2.33673197306838,9.01566279372204,1676040001.44609,1676040001.64169,195.60003281,8,9,2,3,6,FALSE,9_FALSE_6_3
-2.09330130451046,9.57698954561171,1676040002.68517,1676040002.88082,195.65010071,9,9,2,3,6,FALSE,9_FALSE_6_3
0.493860971513013,-25.8394798279279,1676040003.31575,1676040003.48951,173.7601757,10,9,2,3,6,FALSE,9_FALSE_6_3
-4.16613655657885,8.27708008875275,1676040007.64162,1676040007.98944,347.82004356,11,9,2,3,6,FALSE,9_FALSE_6_3
-3.91512088174306,9.25871149041654,1676040010.7938,1676040011.01119,217.38982201,12,9,2,3,6,FALSE,9_FALSE_6_3
-3.35157391839726,9.06435539157285,1676040011.03291,1676040011.7285,695.58978081,13,9,2,3,6,FALSE,9_FALSE_6_3
-2.29102903961011,8.00313177816685,1676040011.75027,1676040011.90243,152.16016769,14,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040012.25027,1676040012.44595,195.68014145,15,9,2,3,6,FALSE,9_FALSE_6_3
-3.19562913050753,9.06035350174225,1676040013.85894,1676040014.07632,217.38004684,16,9,2,3,6,FALSE,9_FALSE_6_3
-2.50875300175982,8.46719894433306,1676040014.09807,1676040014.40242,304.35013771,17,9,2,3,6,FALSE,9_FALSE_6_3
-2.02940696105679,9.29454045120539,1676040015.16327,1676040015.42419,260.92004776,18,9,2,3,6,FALSE,9_FALSE_6_3
-35.4163547819806,2.66170408517,1676040015.88064,1676040016.09802,217.38004684,19,9,2,3,6,FALSE,9_FALSE_6_3
0,0,1676040016.14152,1676040016.33717,195.64986229,20,9,2,3,6,FALSE,9_FALSE_6_3
-5.043704498702,9.8222154819277,1676040016.68499,1676040016.90264,217.65017509,21,9,2,3,6,FALSE,9_FALSE_6_3
-4.26355084090699,6.62735506979531,1676040017.16321,1676040017.42407,260.85996628,22,9,2,3,6,FALSE,9_FALSE_6_3
-4.51080122809912,4.64431949295777,1676040017.48931,1676040017.68496,195.64986229,23,9,2,3,6,FALSE,9_FALSE_6_3
-4.78134917058944,5.72133554416971,1676040018.0328,1676040018.3154,282.59992599,24,9,2,3,6,FALSE,9_FALSE_6_3
-5.95962050605326,6.54911768287019,1676040018.55453,1676040018.75018,195.65010071,25,9,2,3,6,FALSE,9_FALSE_6_3
-5.51028551719435,5.61410546967205,1676040019.14147,1676040019.44579,304.32009697,26,9,2,3,6,FALSE,9_FALSE_6_3
-4.77911736355888,6.55380638749368,1676040019.46755,1676040019.98926,521.70991898,27,9,2,3,6,FALSE,9_FALSE_6_3
-4.49369127594202,6.59239270767159,1676040020.07623,1676040020.72859,652.35996246,28,9,2,3,6,FALSE,9_FALSE_6_3
-5.14269728175573,4.82121066290783,1676040020.75014,1676040020.92407,173.92992973,29,9,2,3,6,FALSE,9_FALSE_6_3
-5.40877888181448,4.76538547506891,1676040020.94582,1676040021.14142,195.59979439,30,9,2,3,6,FALSE,9_FALSE_6_3
-5.4141073893092,5.4119969947638,1676040021.55448,1676040021.81542,260.9398365,31,9,2,3,6,FALSE,9_FALSE_6_3
-4.36520071573564,4.85984234224452,1676040022.01098,1676040022.48924,478.26004028,32,9,2,3,6,FALSE,9_FALSE_6_3
-4.49347880409299,6.07180564233987,1676040022.77187,1676040022.92402,152.15015411,33,9,2,3,6,FALSE,9_FALSE_6_3
-7.54352413350608,6.99289259379219,1676040023.20663,1676040023.40228,195.65010071,34,9,2,3,6,FALSE,9_FALSE_6_3
-4.91821241762347,4.98043563417468,1676040024.81528,1676040024.96751,152.23002434,35,9,2,3,6,FALSE,9_FALSE_6_3
