ppid,correct_absolute,n,total,percent_correct,age,Gender,Approximate.Annual.Mileage..Miles.,No..of.years.holding.a.full.UK.driving.license
1,1,334,439,76.0820045558087,44,Male,8000,23
2,1,377,438,86.0730593607306,25,Female,7000,6
3,1,310,430,72.093023255814,35,Female,6000,17
4,1,203,318,63.8364779874214,22,Male,12000,4
6,1,197,488,40.3688524590164,51,Female,7000,23
7,1,366,421,86.9358669833729,32,Male,5000,13
8,1,383,421,90.9738717339667,28,Female,7500,10
10,1,199,441,45.124716553288,58,Male,10000,41
11,1,334,421,79.3349168646081,30,Male,10000,9
12,1,372,420,88.5714285714286,27,Male,6000,9
13,1,333,435,76.551724137931,33,Male,5000,7
14,1,341,438,77.8538812785388,39,Male,10000,6
17,1,330,432,76.3888888888889,49,Male,15000,31
18,1,228,438,52.054794520548,28,Male,8000,7
19,1,301,470,64.0425531914894,59,Male,18000,43
21,1,368,434,84.7926267281106,33,Male,15000,6
23,1,231,430,53.7209302325582,54,Male,14000,37
24,1,341,404,84.4059405940594,27,Male,5000,5
25,1,259,432,59.9537037037037,27,Female,10000,10
26,1,369,439,84.0546697038725,37,Female,20000,18
27,1,373,421,88.5985748218527,51,Male,9000,21
29,1,317,435,72.8735632183908,30,Female,8000,10
31,1,346,422,81.9905213270142,30,Female,15000,12
32,1,352,420,83.8095238095238,53,Female,10000,34
33,1,300,433,69.284064665127,27,Male,7500,10
35,1,183,429,42.6573426573427,30,Female,20000,12
36,1,234,420,55.7142857142857,52,Female,8000,35
37,1,292,435,67.1264367816092,29,Female,5500,10
38,1,221,438,50.4566210045662,64,Male,11000,25
41,1,344,435,79.0804597701149,26,Male,5000,9
42,1,305,438,69.634703196347,38,Male,5000,7
43,1,376,422,89.0995260663507,26,Female,6500,8
44,1,157,420,37.3809523809524,45,Female,10000,20
45,1,314,434,72.3502304147466,65,Female,5500,41
46,1,291,439,66.2870159453303,39,Female,8000,18
48,1,355,422,84.1232227488152,49,Male,11000,32
49,1,282,434,64.9769585253456,55,Male,6000,38
